 mod L/Lsol Teff t (year) Reff/Rsol k2conv k2rad Mrad/Msol Rrad/Reff
   54   1.266309 4107.0  1.5625351E+06  2.2267  0.2001  0.0000  0.0000000  0.0000E+000
   55   1.137805 4090.0  1.7505983E+06  2.1282  0.2004  0.0000  0.0000000  0.0000E+000
   56   0.975644 4067.0  2.1106439E+06  1.9934  0.2009  0.0000  0.0000000  0.0000E+000
   57   0.868209 4045.0  2.4015941E+06  1.9010  0.2012  0.0000  0.0000000  0.0000E+000
   58   0.778132 4025.0  2.7221191E+06  1.8171  0.2014  0.0000  0.0000000  0.0000E+000
   59   0.695337 4002.0  3.0920119E+06  1.7378  0.2017  0.0000  0.0000000  0.0000E+000
   60   0.625650 3986.0  3.5230500E+06  1.6619  0.2019  0.0000  0.0000000  0.0000E+000
   61   0.559206 3963.0  4.0233717E+06  1.5896  0.2020  0.0001  0.0123980  8.6939E-002
   62   0.501229 3945.0  4.6307653E+06  1.5183  0.2016  0.0006  0.0370187  1.3291E-001
   63   0.447023 3927.0  5.3916743E+06  1.4469  0.2003  0.0020  0.0678281  1.7306E-001
   64   0.396007 3907.0  6.3473831E+06  1.3763  0.1979  0.0043  0.1068475  2.1486E-001
   65   0.351012 3890.0  7.5494171E+06  1.3071  0.1940  0.0078  0.1501457  2.5699E-001
   66   0.313507 3882.0  9.0450832E+06  1.2403  0.1883  0.0127  0.1989953  3.0187E-001
   67   0.281352 3878.0  1.0865296E+07  1.1775  0.1809  0.0186  0.2501490  3.4787E-001
   68   0.253515 3874.0  1.3040247E+07  1.1200  0.1711  0.0261  0.3025432  3.9464E-001
   69   0.232813 3883.0  1.5597238E+07  1.0680  0.1597  0.0343  0.3587227  4.4391E-001
   70   0.216584 3898.0  1.8503816E+07  1.0226  0.1471  0.0426  0.4096085  4.8965E-001
   71   0.204667 3917.0  2.1727201E+07  0.9841  0.1325  0.0518  0.4636152  5.3696E-001
