 mod L/Lsol Teff t (year) Reff/Rsol k2conv k2rad Mrad/Msol Rrad/Reff
   46   4.981728 4461.1  1.0069800E+05  3.7702  1.94304640E-001 0.00000000E+000   0.000E+000  0.0000E+000
   47   4.960666 4459.6  1.0206200E+05  3.7644  1.94304640E-001 0.00000000E+000   0.000E+000  0.0000E+000
   48   4.939693 4458.2  1.0340000E+05  3.7587  1.94392810E-001 0.00000000E+000   0.000E+000  0.0000E+000
   49   4.918923 4456.8  1.0471200E+05  3.7529  1.94392810E-001 0.00000000E+000   0.000E+000  0.0000E+000
   50   4.898352 4455.3  1.0599900E+05  3.7486  1.94392810E-001 0.00000000E+000   0.000E+000  0.0000E+000
   51   4.877868 4453.9  1.0726100E+05  3.7429  1.94392810E-001 0.00000000E+000   0.000E+000  0.0000E+000
   52   4.857692 4452.5  1.0850000E+05  3.7371  1.94481000E-001 0.00000000E+000   0.000E+000  0.0000E+000
   53   4.837600 4451.0  1.0971500E+05  3.7314  1.94481000E-001 0.00000000E+000   0.000E+000  0.0000E+000
   54   4.817814 4449.7  1.1090700E+05  3.7271  1.94481000E-001 0.00000000E+000   0.000E+000  0.0000E+000
   55   4.798108 4448.3  1.1207700E+05  3.7213  1.94481000E-001 0.00000000E+000   0.000E+000  0.0000E+000
   56   4.778593 4446.8  1.1322600E+05  3.7156  1.94481000E-001 0.00000000E+000   0.000E+000  0.0000E+000
   57   4.759376 4445.5  1.1435300E+05  3.7113  1.94569210E-001 0.00000000E+000   0.000E+000  0.0000E+000
   58   4.740236 4444.1  1.1546000E+05  3.7055  1.94569210E-001 0.00000000E+000   0.000E+000  0.0000E+000
   59   4.721283 4442.7  1.1654600E+05  3.7012  1.94569210E-001 0.00000000E+000   0.000E+000  0.0000E+000
   60   4.702513 4441.3  1.1761300E+05  3.6955  1.94569210E-001 0.00000000E+000   0.000E+000  0.0000E+000
   61   4.683926 4440.0  1.1866100E+05  3.6911  1.94657440E-001 0.00000000E+000   0.000E+000  0.0000E+000
   62   4.665519 4438.6  1.1969000E+05  3.6854  1.94657440E-001 0.00000000E+000   0.000E+000  0.0000E+000
   63   4.647292 4437.3  1.2070100E+05  3.6811  1.94657440E-001 0.00000000E+000   0.000E+000  0.0000E+000
   64   4.629350 4436.0  1.2169300E+05  3.6753  1.94657440E-001 0.00000000E+000   0.000E+000  0.0000E+000
   65   4.611477 4434.7  1.2266900E+05  3.6710  1.94657440E-001 0.00000000E+000   0.000E+000  0.0000E+000
   66   4.593672 4433.3  1.2362700E+05  3.6653  1.94745690E-001 0.00000000E+000   0.000E+000  0.0000E+000
   67   4.576147 4432.0  1.2456900E+05  3.6610  1.94745690E-001 0.00000000E+000   0.000E+000  0.0000E+000
   68   4.558794 4430.7  1.2549500E+05  3.6567  1.94745690E-001 0.00000000E+000   0.000E+000  0.0000E+000
